Plant,Name,MTyp,Material,Material Description,Matl Group,SLoc,BUn,Unrestricted,Stock in Transit,Transit/Transf.
6631,Balurghat (D) Division,ZDCL,0508030541,11KVPOLYMER COMP. WH FTTG DISC INSL 45KN,INSULATOR,ST01,NOS,243.000,0.000,0.000
3461,Balurghat (D) Division,ZDCL,0508030641,33KVPOLYMER COMP. WH FTTG DISC INSL70KN,INSULATOR,ST01,NOS,"1,401.000",0.000,0.000
6612,Chanchal (D) Division,ZDCL,0508030641,33KVPOLYMER COMP. WH FTTG DISC INSL70KN,INSULATOR,ST01,NOS,666.000,0.000,0.000
6621,Raiganj (D) Division,ZDCL,0508030641,33KVPOLYMER COMP. WH FTTG DISC INSL70KN,INSULATOR,ST01,NOS,414.000,0.000,0.000
6631,Balurghat (D) Division,ZDCL,0508030641,33KVPOLYMER COMP. WH FTTG DISC INSL70KN,INSULATOR,ST01,NOS,72.000,0.000,0.000
6632,Buniadpur (D) Division,ZDCL,0508030641,33KVPOLYMER COMP. WH FTTG DISC INSL70KN,INSULATOR,ST01,NOS,100.000,0.000,0.000
6612,Chanchal (D) Division,ZDCL,0508040441,"Porcelain Shackle insulator 3"" x 31/2""",INSULATOR,ST01,NOS,349.000,0.000,0.000
6621,Raiganj (D) Division,ZDCL,0508040441,"Porcelain Shackle insulator 3"" x 31/2""",INSULATOR,ST01,NOS,115.000,0.000,0.000
3461,Balurghat (D) Division,ZDCL,0508040741,Porcelain guy insulator LT,INSULATOR,ST01,NOS,"2,934.000",0.000,0.000
6612,Chanchal (D) Division,ZDCL,0508040741,Porcelain guy insulator LT,INSULATOR,ST01,NOS,88.000,0.000,0.000
6621,Raiganj (D) Division,ZDCL,0508040741,Porcelain guy insulator LT,INSULATOR,ST01,NOS,57.000,0.000,0.000
6631,Balurghat (D) Division,ZDCL,0508040741,Porcelain guy insulator LT,INSULATOR,ST01,NOS,98.000,0.000,0.000
3461,Balurghat (D) Division,ZDCL,0508040841,Porcelain guy insulator HT,INSULATOR,ST01,NOS,"2,587.000",0.000,0.000
6612,Chanchal (D) Division,ZDCL,0508040841,Porcelain guy insulator HT,INSULATOR,ST01,NOS,65.000,0.000,0.000
6621,Raiganj (D) Division,ZDCL,0508040841,Porcelain guy insulator HT,INSULATOR,ST01,NOS,27.000,0.000,0.000
6631,Balurghat (D) Division,ZDCL,0508040841,Porcelain guy insulator HT,INSULATOR,ST01,NOS,61.000,0.000,0.000
3461,Balurghat (D) Division,ZDCL,0912011441,"Turn Buckle 18 x 5/8""",VARIOUS,ST01,NOS,320.000,0.000,0.000
6622,Islampur (D) Division,ZDCL,0912011441,"Turn Buckle 18 x 5/8""",VARIOUS,ST01,NOS,44.000,0.000,0.000
6631,Balurghat (D) Division,ZDCL,0912011441,"Turn Buckle 18 x 5/8""",VARIOUS,ST01,NOS,50.000,0.000,0.000
